journal_full,issn,journal_short,filter_function
Nature,0028-0836,Nat,add_nature_filter
Nature,1476-4687,Nat,add_nature_filter
Nature Human Behaviour,2397-3374,NatHumBehav,
Proceedings of the National Academy of Sciences,0027-8424,PNAS,
Proceedings of the National Academy of Sciences,1091-6490,PNAS,
Science,0036-8075,Sci,add_science_filter
Science,1095-9203,Sci,add_science_filter
Science Advances,2375-2548,SciAdv,
Socio-Economic Review,1475-1461,SER,
Socio-Economic Review,1475-147X,SER,
